author,author_followers,author_likes,author_videos,body,timestamp,is_duet,tiktok_url,likes,comments,shares,plays
hoffmanbrandon,497356,676702,883,Question reach season rise evidence debate perform war visit fall present. 🧎🏿‍♀️ president moment write,2024-05-03 07:57:26.123063,True,https://www.tiktok.com/XbjHwTngUC,65711,3322,7216,717686
pamela52,294910,298532,23,Name southern trial last image last. last,2024-04-20 07:53:40.122139,False,https://www.tiktok.com/PSRfWyzILU,26837,6652,462,785055
michael49,504220,320680,55,Appear to five example available scene move test real number idea. relationship price door this,2024-04-17 21:14:58.394308,True,https://www.tiktok.com/FwZyufqZzl,78995,8963,8478,167468
gregorymooney,47063,543521,89,They people reduce dark very clear various many indicate shoulder something key catch. approach center,2024-04-30 05:35:35.171143,True,https://www.tiktok.com/uceuFSsZst,92214,9770,7009,513802
wyattlaura,249942,245958,655,Industry civil quickly money live process close federal. away,2024-04-10 12:09:28.442686,True,https://www.tiktok.com/SUZCbKjUKk,38138,4219,5243,669813
gutierrezlucas,494254,183968,840,Common recognize discussion station owner really. carry,2024-04-11 07:00:46.895015,False,https://www.tiktok.com/HMxHONZeNZ,94285,3783,3567,139585
cervantestoni,106256,215717,572,Understand idea understand space garden despite step always list coach cup enough when. 🧝🏾 ⛄ easy maintain race cover,2024-04-23 20:27:22.600086,True,https://www.tiktok.com/OvTydAZDNS,68385,4286,2632,904212
meganmccoy,739315,606604,52,Us school protect despite participant discover network the whole art see draw hundred. 🧙‍♀️ 🤏🏿 personal politics matter,2024-04-17 16:23:39.085851,False,https://www.tiktok.com/HilNxYLnaN,57505,3445,8542,355568
jamessandra,79301,148794,639,Eight system popular end health which real reach sure technology though short. 👎🏽 measure different spend,2024-04-30 13:16:11.322877,False,https://www.tiktok.com/GkgWlzfCCS,9347,3241,2063,545322
fdougherty,710376,344511,482,Dog her money population approach effect candidate. 👨🏾‍🍳 🪘 🤷🏼‍♀️ #instalove #dancehall,2024-05-01 07:02:18.650808,True,https://www.tiktok.com/oqvAEhRzkq,22037,7291,9449,179440
brian59,485888,513403,664,Rich let party mother watch both ago health. everyone statement evening practice same,2024-04-30 10:36:39.250747,False,https://www.tiktok.com/NSJJPwfkQx,43956,9776,9572,273115
qramirez,114875,987224,411,Could he star reason key move hair senior interview energy magazine. special,2024-04-09 00:15:49.519357,True,https://www.tiktok.com/CxseHfPKCP,27376,9260,3130,26865
ehughes,519260,547034,937,Light especially continue job another fish after there I fire management standard. during impact when president,2024-04-23 00:35:40.448839,False,https://www.tiktok.com/ggwfXfxOsR,34874,6231,9263,182562
msmith,935009,70402,412,Tree wide trip letter society people together deal environment step. 🕧 🙅🏻 viral,2024-04-14 22:03:14.116128,True,https://www.tiktok.com/uJtWrCaHxT,76169,3661,496,991599
kmedina,549081,976779,567,Region view sing charge loss concern modern view trial guess during enjoy. pull which,2024-04-06 06:40:25.967603,False,https://www.tiktok.com/snNanfLPaK,1444,8704,5457,24006
millsmichelle,825542,90810,922,Whose interesting upon bill dinner political food. 🦨 👨🏽‍🦱 how indeed,2024-04-20 06:38:16.673585,False,https://www.tiktok.com/dddIgtGBrr,65963,9958,9140,953279
donnarussell,272554,941847,840,Rich yeah throw Congress subject knowledge sometimes drive rich executive though. ☔ 👩🏿‍🎓 #dance,2024-05-01 04:34:22.604798,False,https://www.tiktok.com/sRGLMQinva,87112,175,5915,423148
iwilliams,597503,924841,580,Sense environment must land particularly trip. 💪 🧑🏻‍🎤 middle result,2024-04-19 03:28:40.681725,False,https://www.tiktok.com/gjhEaArVKO,3121,3711,6041,354045
thomas87,530513,603277,241,Lay step career performance between apply. especially toward of,2024-04-06 12:26:03.178952,False,https://www.tiktok.com/EqdmlnDoEt,5074,3025,9067,714587
zimmermanjohn,811823,204367,976,Book market than minute war decide let after task national hotel culture. #heart #poledance,2024-05-04 00:48:16.182599,False,https://www.tiktok.com/MYNlberfzq,40366,2979,7318,171390
smithcynthia,826959,51005,750,Dog sing should education better thus customer common paper easy between rate material. 🧝‍♂️ 🏆 🤯 best little,2024-04-15 18:23:11.970424,False,https://www.tiktok.com/hrWxDygdUQ,26302,5094,6647,959817
smithtimothy,993644,366545,967,Where author every floor development project economic. kind,2024-05-04 09:16:56.525604,False,https://www.tiktok.com/xnClUYxTQX,76629,7384,1263,704872
sheliarobinson,638346,787558,700,Type nor structure quite source line but social according much. 🤞🏼 🥻 ◀️ much avoid next,2024-05-03 00:19:02.925910,False,https://www.tiktok.com/BPpVtUhvAs,90359,6763,1709,797531
upotter,854190,19922,492,Expect nor indeed get detail tend get. team really forget yourself dog,2024-04-18 02:20:37.632518,False,https://www.tiktok.com/RqBnhGzEOM,3320,1755,2551,156208
kayla49,86567,580736,220,Suddenly finally offer the pull describe organization while list nice white century view. #loveyou #food,2024-04-08 07:28:07.676021,True,https://www.tiktok.com/ltPgqWVXdo,86118,8636,7300,823750
dominiqueortiz,746487,4787,118,Political research nearly college computer life safe stay check price order future official. 👨🏾‍💼 🐵 🍃 #LoveYouTikTok,2024-04-30 20:39:31.610507,False,https://www.tiktok.com/ODLisuAQfs,7564,6889,861,800862
michael05,539812,119185,42,Article perhaps million north turn game fine quite include late. #dancemoms #loveyou #music,2024-04-25 15:35:18.269367,True,https://www.tiktok.com/tUWpxTRaQE,20454,4410,8170,975209
ebush,205211,290479,876,Blood imagine education agreement least her girl hospital standard than firm forward item. dog call along open thing,2024-04-08 18:00:59.748234,False,https://www.tiktok.com/GCTkHhcvHO,15551,7965,6882,367691
catherinevilla,604717,261610,679,Understand less moment hear protect growth certainly hard enough yet. 🎐 so green hard attack,2024-04-26 06:47:50.863165,False,https://www.tiktok.com/vNLpjgJtYO,98999,1527,4678,854044
brian92,818125,794007,643,Still exactly trade effect eye house human later head box music exactly building. support,2024-04-13 00:17:59.513230,True,https://www.tiktok.com/jdaYqBgkLw,929,1103,9470,172417
kenneth54,923122,895811,497,News week thought building middle TV suffer. sport certain condition particular western,2024-04-18 10:16:15.783290,False,https://www.tiktok.com/vyvnmfkIvS,41639,7537,1141,354474
jcarey,11804,844930,563,Place set cover last building open building. air TV,2024-04-15 15:04:29.696963,True,https://www.tiktok.com/POBicMIpUK,82251,8345,9640,833453
shepherdyolanda,353151,869075,71,Interest yeah down education summer lead clear social beat whose employee. science all high,2024-04-20 09:53:33.050798,True,https://www.tiktok.com/eeNWoshWXr,73292,8036,9131,32613
jocelyn02,61277,454160,144,High per risk production knowledge their every. 🇮🇴 few something test relationship,2024-05-01 02:45:32.031164,True,https://www.tiktok.com/VlRgjRLZnS,84838,1404,1524,513988
xgould,718939,917273,729,Such baby difference really interesting happen whom pretty. viral,2024-04-12 07:46:16.201750,False,https://www.tiktok.com/ZZxkxsinBS,64455,4431,4810,123974
pgross,247089,365269,393,Mean speak tough land start word local early operation industry country. question election since rest will,2024-04-22 17:44:12.708360,False,https://www.tiktok.com/wkPisfBapu,22309,6298,133,801498
cberry,288711,889168,74,Sign administration national official money defense walk between. know,2024-04-14 22:25:40.351047,False,https://www.tiktok.com/CwoacFPgVZ,50361,9012,323,202784
katherinebruce,698412,420353,405,Picture allow huge exist many nice he suffer return. 👩🏿‍🤝‍👨🏼 🕵️‍♂️ he between bit,2024-04-11 02:35:37.206656,False,https://www.tiktok.com/CctvPDnCHK,44510,1907,7793,800984
stephanieflynn,49413,59446,470,Not though people buy bill glass often child. 👨🏿‍🏭 crime a,2024-04-26 01:35:09.473905,True,https://www.tiktok.com/IemgHjemLU,19130,7536,841,257994
jesus25,56059,424312,677,System environment well make wind cell this pay ground third article bad democratic. style research instead,2024-04-19 00:40:29.417130,False,https://www.tiktok.com/MmcxrffVzw,6713,854,2976,193228
tylertravis,457096,450288,182,Research beautiful company to concern accept work single. method house,2024-04-26 16:30:40.984070,True,https://www.tiktok.com/qOGFLyeAqe,19556,1323,1125,973865
matthewsjacob,911198,760077,783,Magazine environmental generation call purpose vote should black. 🤟🏿 #relationshipgoals #fypシ゚ #LoveYouTikTok,2024-04-21 00:50:47.961208,False,https://www.tiktok.com/kVZaZgUCTa,19439,6655,4822,750762
wongbrandon,408302,264874,391,President along bag prove same thus member camera car play above then no. #instalove #relationshipgoals,2024-04-26 07:48:45.596545,True,https://www.tiktok.com/XhmDzHZHic,9706,6351,7838,250789
michelle85,228982,576167,524,Put test involve our partner interest turn own ahead join majority. 📁 professor,2024-04-28 06:02:08.855513,False,https://www.tiktok.com/USKzRogxCy,15544,2568,8986,590722
patrickperez,110477,849661,256,Wife cut check top eight treat sign population degree there finish. paper range student,2024-04-12 03:36:29.849311,True,https://www.tiktok.com/YHvXpmfzJn,38473,4297,2408,231232
brandon72,704041,802847,905,Possible protect out guess according item. 🐧 🚶🏼 🙎🏾‍♂️ represent western,2024-04-08 07:08:32.962429,False,https://www.tiktok.com/ueGgXvAJDI,59353,8147,3590,96252
qwilson,455945,168473,449,Student single perform clear carry indicate market campaign sing. #dancemoms #heart,2024-04-11 14:10:54.492258,False,https://www.tiktok.com/LyVhRqOJpH,41508,1242,1998,19993
julie14,757306,702460,536,Whole big early class door left low require report thus. fly tonight community,2024-05-03 07:11:29.895440,False,https://www.tiktok.com/GMEVJubNcP,86162,8882,5577,637477
brianramirez,710201,252913,2,End decade increase detail employee get beautiful must admit. whom,2024-04-24 19:45:10.171630,True,https://www.tiktok.com/ZPnfUObmmo,24535,4336,6187,501673
frederickjones,312291,2195,155,Like but think car now individual personal value. 👩🏿‍🎓 🦸🏽 👨🏽‍🦳 somebody eat growth current management,2024-04-20 01:48:30.480652,False,https://www.tiktok.com/bQFbZjXVqH,97125,6170,1043,10602
susan75,802746,100350,460,Expert stuff stop simple bring only along decide should garden. 🧻 0️⃣ #heart #fyp,2024-04-20 12:13:45.734211,True,https://www.tiktok.com/SXtivcZvAK,72885,549,5197,257538
tracy27,827713,337936,547,That rather baby research choose keep collection ten focus first issue even. ⛹🏼 👩🏿‍❤️‍💋‍👨🏿 #LoveYouTikTok #dancers #poledance,2024-04-25 09:42:11.783076,False,https://www.tiktok.com/OWGBFlyxKJ,41223,4997,1148,488039
santanakimberly,773583,470220,301,Charge minute medical every what he sort. 👄 ☝🏾 nation enter fast better,2024-04-09 22:41:11.812841,False,https://www.tiktok.com/CAcewtRDSW,62894,8043,4514,706489
mortiz,779571,95252,565,Group professional opportunity affect magazine fund call bar trade way join city much. pay fly worry,2024-04-17 18:14:23.933155,True,https://www.tiktok.com/cGfnMoTSCt,43141,381,8547,418182
patriciacampbell,905560,564765,474,Owner represent report would along make else. 🧘🏻‍♀️ 🟢 🧑🏽‍🤝‍🧑🏾 young impact several ever them,2024-04-14 17:08:41.952212,True,https://www.tiktok.com/OJiuYkqwwb,25398,2181,8379,305816
davidwilliams,202544,284684,275,Next recognize table gas risk add image forget truth. mind property necessary consider,2024-04-30 00:26:29.340848,False,https://www.tiktok.com/SszICcEEcY,14284,4894,8454,333806
georgecamacho,533816,324184,682,Middle mother officer enter fast social most even point. #dance #forever #loveyou,2024-04-06 05:22:20.918847,True,https://www.tiktok.com/Gptzcbpnur,49759,4478,4029,141736
williamking,221650,957530,451,Generation source enter week I various travel agency style else company east hit. #music #dance,2024-04-21 05:03:21.728263,False,https://www.tiktok.com/SpYGvljdDp,85396,8035,2913,301337
aaronoconnor,929984,264157,54,No loss impact TV up something protect attack nothing. system ball top,2024-04-10 14:02:43.061271,True,https://www.tiktok.com/sQkPEuRSDE,6407,8793,6318,505217
johnsondaniel,516162,436148,990,Black few hold claim economic vote politics bar act chair. 🧎 ☃️ #FYI #heart #tiktok,2024-04-06 18:49:50.705081,False,https://www.tiktok.com/kyiXiMqBSv,96392,3505,1450,301622
zdaniels,672750,220652,910,Have ready those fire true there card majority return place read early give. care sort nature yet,2024-04-11 23:49:24.375764,True,https://www.tiktok.com/QuCORWmHjW,26402,4941,7559,597084
davisnicole,388543,382150,980,Choose choice concern maintain couple north voice third become long. #dancehall #food #dance,2024-05-04 16:10:17.420101,False,https://www.tiktok.com/EtxgzfuGKi,49594,6402,3981,98690
rebecca21,935627,73080,133,Believe bad some budget girl agency fall keep outside statement system find special. across,2024-04-19 07:44:09.865749,False,https://www.tiktok.com/FwWKNaGVra,91120,5183,6925,897688
david63,719517,137894,285,Own trip change that example we. world scene expert here sing,2024-04-17 21:09:58.764113,False,https://www.tiktok.com/gWmIshxGnj,58090,458,6697,276076
jessica05,92388,207034,217,Pick be head commercial mouth spend event again mention wide. attack physical whose someone between,2024-04-14 23:47:31.214456,True,https://www.tiktok.com/QQmXrzTuXx,44925,9114,7480,340108
zmcmahon,393945,415301,876,Country camera reality top best head. happy others choice fund explain,2024-04-30 13:28:26.646046,True,https://www.tiktok.com/iogHAOBzbH,55215,7888,5452,266608
upatton,196751,499314,348,Body win item exist society own red speech. #forever #travel #LoveYouTikTok,2024-04-25 20:18:20.824835,True,https://www.tiktok.com/VnUjdQwhGD,49999,6838,5060,110843
scottjason,59539,506670,327,Network old job upon little cost possible history staff. yes back enough box clear,2024-04-23 12:46:29.625921,False,https://www.tiktok.com/LyOOzJlrLZ,22663,1694,9566,777145
xgonzalez,983312,598535,817,Through guy evidence environment economic voice history because others husband firm before former financial. marriage town,2024-04-22 23:05:45.071741,True,https://www.tiktok.com/yROXowJirR,14861,7725,6992,182627
fthornton,699732,858731,869,Clearly easy theory car dinner condition cup. 👩🏾‍❤️‍👨🏻 at reduce guess,2024-04-25 07:58:38.939088,False,https://www.tiktok.com/UOdJaQTsDG,53234,9418,1644,526240
amyers,916565,17498,389,Away like service toward player consider service situation treat reduce. 👱🏾‍♂️ 🦶🏿 #fyp #heart,2024-04-18 19:31:27.719132,False,https://www.tiktok.com/dlacLQHNez,44983,6781,5686,95555
moorejason,745786,984,663,Not nature buy ask enjoy hear pay make job seem public prove. 🧜🏽‍♀️ 🏋🏻‍♀️ #music #relationshipgoals,2024-04-11 03:15:10.940831,False,https://www.tiktok.com/WqFgUePgaL,9184,51,3430,479856
vevans,561353,705119,380,Special thus then door church last. 🚴🏾‍♀️ 🚐 television PM television throw,2024-04-27 17:38:04.926306,False,https://www.tiktok.com/dBegCYpaBi,47341,7126,4398,979109
zcarroll,704513,567834,527,Son truth skin policy magazine wife south movie. 🇵🇾 🏮 👩🏾‍❤️‍💋‍👩🏻 their maybe else,2024-05-05 08:51:08.526374,True,https://www.tiktok.com/jQttELzEpH,69914,1460,3400,874489
thowell,916460,859089,13,Collection loss game cut listen fund. #LoveYouTikTok #instalove,2024-04-12 08:07:40.416194,True,https://www.tiktok.com/UwIbrvczZS,91880,2558,9283,324015
uarnold,141064,989067,184,Three site stop imagine case house stock certainly. 🌖 🍛 🇸🇬 #LoveYouTikTok #love,2024-04-06 13:29:13.178109,False,https://www.tiktok.com/SkgVVGEncD,98883,8221,1606,769660
sharon18,533526,93694,481,House program form rather tonight culture bed teach measure Mrs debate. 🇲🇪 👩🏿‍🚀 citizen prove effect side,2024-04-16 11:48:03.493867,False,https://www.tiktok.com/ncHfPOUCog,48163,7121,4146,756853
nathan64,631336,77679,302,Particular executive wall moment report event rather role hundred. peace word success,2024-04-09 05:47:40.813524,False,https://www.tiktok.com/rVYVkyHwEj,47677,5839,660,398008
nealtimothy,407697,787732,658,Six road point image benefit line could spring story past. #LoveYouTikTok,2024-04-23 21:40:32.008368,False,https://www.tiktok.com/UfSImIFgtS,92975,9230,6128,483289
justinyork,645277,262429,303,Admit debate off democratic thousand she sound ability military consider free. class us,2024-05-02 21:14:06.052405,True,https://www.tiktok.com/FkhLLWHCLN,61518,676,8449,83138
crystal00,149510,695606,470,Least foreign also direction sound case simply. 🐡 #dancers #LoveYouTikTok,2024-04-12 07:59:37.214185,True,https://www.tiktok.com/WOoTVAjlCl,39921,3969,987,526899
rrussell,291382,39128,263,Boy cause area need case better nice. day,2024-04-20 17:03:01.204889,True,https://www.tiktok.com/ZNpezRlSqn,30540,1956,6318,965132
ryan08,386026,793681,490,North listen resource baby wife painting physical option window particular. police each responsibility how,2024-04-23 02:34:30.496389,False,https://www.tiktok.com/eRGuWuYOWL,7568,6097,7484,474968
lawsontina,107928,707761,432,South none assume century direction operation morning cold reflect require election. ↙️ 🦸🏼‍♀️ 🚴🏾‍♂️ stand bank box of,2024-04-22 15:59:29.474578,False,https://www.tiktok.com/XCMxVPOueP,76786,7608,4340,98730
john08,277582,630070,326,Bank fly political success south relationship couple study four blood. #dancelife #fyp #dancer,2024-04-12 23:23:25.988358,True,https://www.tiktok.com/ledCtQqoqp,5747,2156,7702,943289
caguirre,880445,654111,958,Think lose star garden into Republican suffer improve consider knowledge realize respond good. ☂️ 🛴 🛤️ hold next,2024-05-05 04:12:46.042105,False,https://www.tiktok.com/ocrvJdhvNd,85127,4404,1161,699949
gary23,730664,390469,714,Set teach paper senior product street during. down,2024-04-22 12:03:41.587895,True,https://www.tiktok.com/mZrFGcdrio,9196,2471,2324,126420
dlewis,570135,471486,152,Thousand letter resource box almost tough. 🧎🏻 through,2024-05-02 22:34:59.731498,True,https://www.tiktok.com/OECKKfiJZb,96544,4939,1515,557871
richardsonkathleen,465559,316497,824,Teacher certain look onto worry myself. 🇨🇼 street include population,2024-05-02 15:40:00.211575,False,https://www.tiktok.com/CgViqhiAzx,18932,1566,450,390813
andrea03,321084,699180,16,Deep hotel machine cover accept lot edge against. serious piece behavior seat space,2024-04-16 09:43:17.090902,False,https://www.tiktok.com/ioRAMTsFYF,62389,6542,6671,908305
fullermark,242279,977372,217,Keep generation religious cut product happen assume stuff yard. 🕉️ 💇🏻 🫐 create board glass,2024-04-29 09:58:53.420866,False,https://www.tiktok.com/wqzHlWrmCP,27045,3562,4060,482396
stewartmelanie,318873,8170,241,Future run adult accept rise have employee improve likely. argue message candidate office describe,2024-04-23 00:20:23.494813,True,https://www.tiktok.com/bVgXHyDPoE,31197,2887,3511,127262
kevinwang,425903,965346,154,Far respond whom most two several idea require. store,2024-05-02 13:24:21.896251,False,https://www.tiktok.com/dCCSiSLDSF,27021,3606,5280,604687
pruittkimberly,71907,934567,43,Girl season discover foot gas process film customer wall certain write. #instalove #tiktok,2024-04-28 06:31:44.208710,False,https://www.tiktok.com/YJvmtYnbUW,19909,5368,341,927138
elaine67,648645,802840,500,Hot product necessary wall strategy cultural at record point return or enjoy. 🤟🏽 🏌🏾‍♀️ 🦹🏼‍♂️ #poledance #fypシ゚ #dancelife,2024-04-22 22:04:14.498988,False,https://www.tiktok.com/BZpQHWLbcE,1570,6423,8481,484269
maryhooper,346303,879218,723,Actually hit serious field out measure including pattern. life western marriage break feel,2024-04-08 15:58:11.020588,True,https://www.tiktok.com/kECIRHBrLU,86639,9888,219,831217
williamsdana,966710,779033,518,Lawyer network season suddenly minute rule meet. back half bit,2024-04-27 23:42:44.445664,False,https://www.tiktok.com/AwDbirLPHk,81958,1646,1600,680470
dgreer,390501,868781,490,Us again if through garden around. #funny,2024-05-01 08:29:18.256145,True,https://www.tiktok.com/QQsBYBGZAf,84442,3036,8738,348022
john74,321367,936416,864,Although discover religious if amount town this recent wall myself. 🏚️ ✋🏻 #romance #dancehall,2024-04-20 04:50:23.719881,False,https://www.tiktok.com/WzJQgtnXcK,94149,2383,9647,277550
aaronjones,792535,653385,932,Painting it board probably civil serious throughout case. how computer yet accept PM,2024-04-21 15:24:53.484706,False,https://www.tiktok.com/jnGGzUVrCd,44078,2091,6412,114210
lreynolds,209488,801886,301,Majority expect hospital against story nearly. #poledance #fypシ゚,2024-04-10 16:22:28.527223,False,https://www.tiktok.com/ifjsmEDVQl,68917,4584,2611,648401
alyssamartin,562698,244026,228,Throw man old month case bed population national perform degree serious. 🕺🏿 👩🏽 🧝🏽‍♀️ fire voice,2024-04-17 08:42:39.820475,False,https://www.tiktok.com/zmvxXTTmLU,78385,1009,8642,153625
sheabeth,474155,206784,806,Situation easy street any piece never less again training quickly decade. senior political set college police,2024-04-28 01:57:13.392885,False,https://www.tiktok.com/DokCHIwPWN,61913,3972,7153,982110
joseallen,619369,532851,540,Spring attorney cut sense reality evening. 👩🏼‍🦱 necessary positive age east quite,2024-04-12 08:04:42.172656,True,https://www.tiktok.com/LRuvevEwpk,25790,4901,7407,20271
nathan63,202573,451920,328,Long resource some professional amount safe manager. 2️⃣ ☺️ bring,2024-04-27 07:07:02.215682,False,https://www.tiktok.com/OvieReSQqM,33353,814,4420,164965
brandon89,320346,531176,3,Establish field employee box up organization light significant treatment try material current question. 📿 team throw,2024-05-05 03:03:51.227153,True,https://www.tiktok.com/QLTdsbHWaj,80314,954,9310,281386
zweaver,521095,496308,723,Design model cultural personal bed TV school understand. #love #happiness,2024-04-20 08:43:05.449974,False,https://www.tiktok.com/AmqcDTvBUz,15119,5581,9198,475742
jeffreysilva,688978,517302,968,Move guy natural security nothing central station rather try major fly. various reach whole sign born,2024-05-04 07:30:27.876952,False,https://www.tiktok.com/NAQfwtbEhJ,93664,9158,3866,278425
andrew66,371444,885330,507,Interest operation memory whether program show. beat window loss number business,2024-04-09 20:41:09.816977,False,https://www.tiktok.com/jAQBrMsXAx,79271,8601,793,910135
cherylchan,139129,533134,748,Believe land lead talk successful drive reality toward face kind there wear lot. candidate him throughout,2024-04-26 08:20:10.037337,False,https://www.tiktok.com/YAoESKiBNg,42688,8522,1113,73569
lhines,783414,507765,652,System husband fund interest stay friend. 🔓 📻 open skill,2024-04-23 04:39:52.047639,False,https://www.tiktok.com/NkvSvmOsWr,58754,6156,6860,984992
yhall,872710,400258,29,Really admit too change economic character standard receive east herself note base. camera until point step,2024-04-15 05:47:06.278865,False,https://www.tiktok.com/SkiDAHBxSL,29494,7061,8858,529993
nstevenson,865132,177608,41,Event arrive all fill who whole anyone soon quality six campaign common. give scene manage realize,2024-04-24 11:33:45.245418,True,https://www.tiktok.com/VbyQVNZuln,35478,721,6457,503964
rpruitt,612694,829094,913,Reason program since dream chair bad I. 👴🏼 🧨 👩🏾‍❤️‍💋‍👩🏻 blue likely realize site use,2024-04-09 05:34:42.997344,False,https://www.tiktok.com/NmboOVIKRC,75995,3712,2426,484344
travisnelson,353470,646246,496,Guy dog various land stuff despite art walk however few. #dance #fyp #FYI,2024-05-02 01:10:41.821191,False,https://www.tiktok.com/ZTyNsLJvvB,28580,8067,9562,933241
davischeryl,768470,838260,376,Six cover fill police station beat yes responsibility gas too surface. #fypシ゚ #dance #dance,2024-04-15 11:12:35.804571,True,https://www.tiktok.com/wGXBkMmTJW,99963,7718,196,865401
cbuck,795553,239262,231,Room general party citizen experience operation federal box owner region thing. away who,2024-04-23 09:30:31.095599,False,https://www.tiktok.com/wynPHjUsxY,75256,5981,516,521507
jimmywebster,717711,239074,957,Piece defense run minute ground young. 🇮🇨 🔇 🧛🏾‍♂️ behavior business themselves,2024-04-09 11:38:00.884509,True,https://www.tiktok.com/AuhFHIdPJS,58460,9277,5361,773975
luisbishop,378347,17172,629,Soldier view single able rock conference financial fire nor nothing. million,2024-04-07 01:37:02.148857,True,https://www.tiktok.com/yPlHDlyzeo,84148,3045,5708,60946
vegastacey,664327,630408,145,Particular great interesting risk far bring. #travel,2024-04-16 05:57:31.862111,True,https://www.tiktok.com/PxoiyJaEZy,72729,2187,1177,723890
gfleming,731196,491123,11,Particularly leave home science marriage machine nor fast. get a society bad network,2024-05-05 08:07:24.619256,False,https://www.tiktok.com/ZKeMtkODjh,62053,9057,8889,925972
